车次,,始发站-终点站,到站时间,查询站,开车时间,全程（时间）
G6731,,北京西站 - 邯郸东站,始发站,北京站,6:32,456公里（2小时18分）
D29,,北京站 - 齐齐哈尔南站,始发站,北京站,6:34,1527公里（9小时58分）
G101,,北京南站 - 上海虹桥站,始发站,北京站,6:36,1318公里（6小时4分）
D21,,北京站 - 珲春站,始发站,北京站,6:39,1484公里（10小时43分）
G2501,,北京北站 - 大同南站,始发站,北京站,6:40,338公里（2小时22分）
C2001,,北京南站 - 天津站,始发站,北京站,6:43,120公里（30分）
G103,,北京南站 - 上海虹桥站,始发站,北京站,6:43,1318公里（6小时5分）
G507,,北京西站 - 汉口站,始发站,北京站,6:43,1233公里（5小时37分）
Z4061,,北京站 - 长春站,始发站,北京站,6:48,1003公里（12小时25分）
C2555,,北京南站 - 滨海站,始发站,北京站,6:48,165公里（1小时3分）
C2003,,北京南站 - 天津站,始发站,北京站,6:53,120公里（30分）
G89,,北京西站 - 成都东站,始发站,北京站,6:53,1874公里（7小时45分）
G209,,北京南站 - 青岛北站,始发站,北京站,6:55,804公里（3小时5分）
D45/D44,,北京站 - 大连北站,始发站,北京站,6:55,873公里（6小时13分）
C2701,,北京西站 - 大兴机场站,始发站,北京站,6:56,47公里（30分）
C2005,,北京南站 - 天津站,始发站,北京站,6:58,120公里（30分）
G651,,北京西站 - 西安北站,始发站,北京站,6:58,1212公里（5小时48分）
G5,,北京南站 - 上海站,始发站,北京站,7:00,1325公里（4小时40分）
G484/G485,,北京西站 - 瑞金站,始发站,北京站,7:03,2405公里（12小时9分）
G471,,北京南站 - 烟台站,始发站,北京站,7:04,961公里（5小时52分）
G261,,北京南站 - 六安站,始发站,北京站,7:08,1072公里（5小时33分）
C2557,,北京南站 - 滨海站,始发站,北京站,7:10,165公里（1小时10分）
G57,,北京南站 - 宁波站,始发站,北京站,7:15,1434公里（6小时54分）
G105,,北京南站 - 上海虹桥站,始发站,北京站,7:20,1318公里（5小时48分）
G601,,北京西站 - 太原南站,始发站,北京站,7:21,513公里（2小时54分）
C2007,,北京南站 - 天津站,始发站,北京站,7:22,120公里（30分）
G2403,,北京北站 - 呼和浩特东站,始发站,北京站,7:22,459公里（2小时47分）
G481,,北京南站 - 盐城站,始发站,北京站,7:25,1129公里（6小时53分）
G71,,北京西站 - 福田站,始发站,北京站,7:26,2409公里（10小时38分）
C2009,,北京南站 - 天津站,始发站,北京站,7:27,120公里（30分）
D6611/D6614,,北京站 - 曹妃甸东站,始发站,北京站,7:28,257公里（2小时17分）
G177,,北京南站 - 青岛北站,始发站,北京站,7:30,804公里（4小时0分）
G383,,北京南站 - 吉林站,始发站,北京站,7:34,1214公里（7小时21分）
C2605,,北京南站 - 天津西站,始发站,北京站,7:37,117公里（32分）
G7871,,北京北站 - 张家口站,始发站,北京站,7:40,172公里（1小时21分）
C2203,,北京南站 - 天津站,始发站,北京站,7:43,120公里（37分）
G653,,北京西站 - 西安北站,始发站,北京站,7:43,1216公里（6小时8分）
G265,,北京南站 - 黄山北站,始发站,北京站,7:45,1306公里（6小时28分）
G671,,北京西站 - 宝鸡南站,始发站,北京站,7:49,1379公里（7小时30分）
G143,,北京南站 - 上海虹桥站,始发站,北京站,7:50,1318公里（5小时22分）
G381,,北京南站 - 哈尔滨西站,始发站,北京站,7:54,1331公里（6小时37分）
G219,,北京南站 - 沈阳南站,始发站,北京站,8:00,853公里（4小时20分）
G19,,北京南站 - 杭州东站,始发站,北京站,8:00,1279公里（4小时38分）
